street_name,Latitude,Longitude
SENJA LINK,1.3861940000000001,103.76340429999999
LOMPANG RD,1.3796151,103.7654158
GANGSA RD,1.3791848999999998,103.767134
TOH YI DRIVE,1.3402802,103.77212940000001
FARRER RD,1.3176276000000002,103.8077853
JALAN KUKOH,1.2883308,103.8395829
ROWELL RD,1.3092285,103.8538768
WATERLOO ST,1.2994261,103.852085
NEW MKT RD,1.2869758,103.84451899999999
TANJONG PAGAR PLAZA,1.2772615,103.8428559385813
QUEEN ST,1.2997945,103.85369150000001
BAIN ST,1.2975596999999999,103.853387
CANTONMENT RD,1.2751428999999999,103.84094499999999
TECK WHYE LANE,1.3777253,103.7547056
CHOA CHU KANG AVE 4,1.3847476,103.74550129999999
CHOA CHU KANG AVE 3,1.3765497,103.7359791
CHOA CHU KANG CRES,1.4010533,103.74569240000001
CHOA CHU KANG ST 54,1.3955363,103.75029640000001
CIRCUIT RD,1.3249654,103.885061
CHOA CHU KANG CENTRAL,1.3826143999999998,103.74450920000001
JALAN TECK WHYE,1.3806433999999999,103.756008
CHOA CHU KANG ST 62,1.3985976,103.7478327
CHOA CHU KANG NORTH 6,1.3962453000000001,103.7485213
CHOA CHU KANG DRIVE,1.3974652,103.74776920000001
CHOA CHU KANG NORTH 5,1.3928034,103.7427274
CHOA CHU KANG ST 52,1.3928034,103.7427274
CHOA CHU KANG AVE 2,1.379904,103.7450402
CLEMENTI WEST ST 2,1.3057326,103.76286800000001
WEST COAST RD,1.2955601,103.7667141
CLEMENTI WEST ST 1,1.3048861999999999,103.7662478
CLEMENTI AVE 4,1.3164023,103.7653233
CLEMENTI AVE 5,1.3167223999999997,103.7698585
CLEMENTI ST 11,1.3140256000000001,103.7624098
CLEMENTI AVE 2,1.3088745000000002,103.76614190000001
CLEMENTI AVE 3,1.3115411,103.76505920000001
CLEMENTI AVE 1,1.3076504,103.76879009999999
COMMONWEALTH AVE WEST,1.3259843,103.75698620000001
BALAM RD,1.3298615,103.8865559
MACPHERSON LANE,1.3326508,103.88530329999999
EUNOS CRES,1.3207219,103.9036666801952
UBI AVE 1,1.3250959999999998,103.8936493
HAIG RD,1.3129829,103.8960563
OLD AIRPORT RD,1.3067613,103.8835354
GEYLANG EAST AVE 1,1.3188068000000002,103.88584370000001
SIMS DRIVE,1.316476,103.87799509999999
PIPIT RD,1.3233151,103.8890677
GEYLANG EAST CENTRAL,1.32027145,103.88738044802069
EUNOS RD 5,1.3198557,103.89626899999999
CASSIA CRES,1.3093795,103.8848305
BUANGKOK CRES,1.3841103000000001,103.8832573
HOUGANG AVE 3,1.3386498,103.89518299999999
HOUGANG AVE 8,1.3692514999999998,103.8798375
HOUGANG AVE 1,1.3489671,103.88767390000001
HOUGANG AVE 5,1.3658133,103.89776690000001
HOUGANG ST 61,1.3748051000000001,103.8850818
DOVER RD,1.3019037,103.7831933
HOUGANG ST 11,1.3527978999999999,103.8786781
HOUGANG AVE 7,1.3714043,103.90094599999999
